strategy,coverage_t,sample_size_source_t,metric_1,metric_2,rho,p_value,n_systems
random,1,2,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,1.0,0.0,21
random,1,2,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,1.0,0.0,21
random,1,2,MDAP_MF-DF-ALS-PCI,MD_MF-DF,1.0,0.0,21
random,1,2,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,1.0,0.0,21
random,1,2,MDAP_MF-DF-ALS-PCI,PCI,1.0,0.0,21
random,1,2,MDAP_MF-DF-ALS-PCI,ALS,1.0,0.0,21
random,1,2,MDAP_MF-DF-ALS-PCI,Default,1.0,0.0,21
random,1,2,MDA_MF-DF-ALS,MDP_MF-DF-PCI,1.0,0.0,21
random,1,2,MDA_MF-DF-ALS,MD_MF-DF,1.0,0.0,21
random,1,2,MDA_MF-DF-ALS,AP_ALS-PCI,1.0,0.0,21
random,1,2,MDA_MF-DF-ALS,PCI,1.0,0.0,21
random,1,2,MDA_MF-DF-ALS,ALS,1.0,0.0,21
random,1,2,MDA_MF-DF-ALS,Default,1.0,0.0,21
random,1,2,MDP_MF-DF-PCI,MD_MF-DF,1.0,0.0,21
random,1,2,MDP_MF-DF-PCI,AP_ALS-PCI,1.0,0.0,21
random,1,2,MDP_MF-DF-PCI,PCI,1.0,0.0,21
random,1,2,MDP_MF-DF-PCI,ALS,1.0,0.0,21
random,1,2,MDP_MF-DF-PCI,Default,1.0,0.0,21
random,1,2,MD_MF-DF,AP_ALS-PCI,1.0,0.0,21
random,1,2,MD_MF-DF,PCI,1.0,0.0,21
random,1,2,MD_MF-DF,ALS,1.0,0.0,21
random,1,2,MD_MF-DF,Default,1.0,0.0,21
random,1,2,AP_ALS-PCI,PCI,1.0,0.0,21
random,1,2,AP_ALS-PCI,ALS,1.0,0.0,21
random,1,2,AP_ALS-PCI,Default,1.0,0.0,21
random,1,2,PCI,ALS,1.0,0.0,21
random,1,2,PCI,Default,1.0,0.0,21
random,1,2,ALS,Default,1.0,0.0,21
random,2,2,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,1.0,0.0,21
random,2,2,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.9935064935064933,2.1102349405432995e-19,21
random,2,2,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.9935064935064933,2.1102349405432995e-19,21
random,2,2,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.996103896103896,1.663852309360307e-21,21
random,2,2,MDAP_MF-DF-ALS-PCI,PCI,0.9805194805194805,6.841881880876494e-15,21
random,2,2,MDAP_MF-DF-ALS-PCI,ALS,0.996103896103896,1.663852309360307e-21,21
random,2,2,MDAP_MF-DF-ALS-PCI,Default,0.9753246753246754,6.334484986822819e-14,21
random,2,2,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.9935064935064933,2.1102349405432995e-19,21
random,2,2,MDA_MF-DF-ALS,MD_MF-DF,0.9935064935064933,2.1102349405432995e-19,21
random,2,2,MDA_MF-DF-ALS,AP_ALS-PCI,0.996103896103896,1.663852309360307e-21,21
random,2,2,MDA_MF-DF-ALS,PCI,0.9805194805194805,6.841881880876494e-15,21
random,2,2,MDA_MF-DF-ALS,ALS,0.996103896103896,1.663852309360307e-21,21
random,2,2,MDA_MF-DF-ALS,Default,0.9753246753246754,6.334484986822819e-14,21
random,2,2,MDP_MF-DF-PCI,MD_MF-DF,1.0,0.0,21
random,2,2,MDP_MF-DF-PCI,AP_ALS-PCI,0.9896103896103896,1.80692892694147e-17,21
random,2,2,MDP_MF-DF-PCI,PCI,0.9883116883116884,5.5044143548490815e-17,21
