metric,coverage_t,sample_size_source_t,kw_statistic,kw_pvalue,dunn_random_solver,dunn_random_distance,dunn_solver_distance
ALS,1,1,72.61774304259345,1.7031678643440917e-16,6.763910621361585e-16,2.2805232818774047e-09,0.03406722362918327
ALS,1,2,73.27085101278648,1.2286745435903282e-16,3.3795839325898267e-16,4.201052937798335e-09,0.021403437262683695
ALS,2,1,81.0851128174425,2.469400145744141e-18,8.640128814871046e-18,5.344441544312131e-10,0.016422563788767466
ALS,2,2,82.21400865089198,1.4042836968103616e-18,4.338820830282677e-18,5.554965409124514e-10,0.013026227846207696
ALS,3,1,85.29204461659027,3.01347668961526e-19,9.912481070695571e-19,2.6507436982160663e-10,0.011282135606116381
ALS,3,2,86.95537426720642,1.311838558836882e-19,4.754439772342504e-19,1.5548176746034856e-10,0.011282135606116381
AP_ALS-PCI,1,1,72.61774304259345,1.7031678643440917e-16,6.763910621361585e-16,2.2805232818774047e-09,0.03406722362918327
AP_ALS-PCI,1,2,73.27085101278648,1.2286745435903282e-16,3.3795839325898267e-16,4.201052937798335e-09,0.021403437262683695
AP_ALS-PCI,2,1,80.58788000603988,3.1663885218420757e-18,1.8489909238720205e-17,2.1336135623954787e-10,0.02983232347007736
AP_ALS-PCI,2,2,81.37350950748126,2.13779926736428e-18,1.0385280929781203e-17,2.598024851530585e-10,0.023333655842817217
AP_ALS-PCI,3,1,83.3145840458063,8.099681532933867e-19,5.3684068037244006e-18,9.625222128092318e-11,0.028292768912766445
AP_ALS-PCI,3,2,84.8677750245491,3.725604999483925e-19,2.6138490713115712e-18,6.300586306573804e-11,0.027026772604339888
Default,1,1,71.1420603309078,3.5620325482206395e-16,3.2716690849755543e-15,6.768629078594678e-10,0.08253773554492658
Default,1,2,70.03926062498186,6.18255227326073e-16,4.978429702244552e-15,1.0718346659156306e-09,0.07904571994186577
Default,2,1,79.70228970666946,4.930235819882119e-18,9.192558581438359e-17,3.347693542417455e-11,0.0868736814597551
Default,2,2,79.90430563912334,4.456567515338959e-18,9.673783214781103e-17,2.5087028869936956e-11,0.0960486527048503
Default,3,1,82.71276652731859,1.094336682416689e-18,7.88873451675706e-17,2.200356287047865e-12,0.1787581633196903
Default,3,2,83.19287817720421,8.607876690124021e-19,7.119613670948279e-17,1.623141904780352e-12,0.18860780711454894
MDAP_MF-DF-ALS-PCI,1,1,69.72526002679857,7.233561205925608e-16,6.959027116149287e-15,8.479048820334192e-10,0.09334868841124408
MDAP_MF-DF-ALS-PCI,1,2,70.20765377237817,5.683314502516074e-16,3.696596540010582e-15,1.5016095897000558e-09,0.06486333229666406
MDAP_MF-DF-ALS-PCI,2,1,78.74683504430938,7.949540686690508e-18,7.577105366156522e-17,1.2733245922429348e-10,0.053387317934738755
MDAP_MF-DF-ALS-PCI,2,2,79.93068201022177,4.398179339360317e-18,3.4538634180778454e-17,1.407296432583441e-10,0.041566413768981715
MDAP_MF-DF-ALS-PCI,3,1,81.7171447484995,1.8003107693577358e-18,2.5301144207282948e-17,3.48730327669663e-11,0.06183051052213735
MDAP_MF-DF-ALS-PCI,3,2,83.07137900188363,9.147011975908066e-19,1.3516555058165925e-17,2.4067560407680176e-11,0.05937082100656333
MDA_MF-DF-ALS,1,1,69.72526002679857,7.233561205925608e-16,6.959027116149287e-15,8.479048820334192e-10,0.09334868841124408
MDA_MF-DF-ALS,1,2,70.20765377237817,5.683314502516074e-16,3.696596540010582e-15,1.5016095897000558e-09,0.06486333229666406
MDA_MF-DF-ALS,2,1,78.86312813009722,7.50048442790863e-18,7.294306040050828e-17,1.1995675375532387e-10,0.053944610410723556
MDA_MF-DF-ALS,2,2,80.21342381070956,3.818355255596079e-18,3.033838686001924e-17,1.2994207097359994e-10,0.04126839784491202
MDA_MF-DF-ALS,3,1,82.15019972098206,1.4498089851882094e-18,1.756230935516337e-17,4.1084265348481584e-11,0.05320595663445914
MDA_MF-DF-ALS,3,2,83.34693995913868,7.969699492953188e-19,9.860564687839403e-18,3.08276701853095e-11,0.050329875039359775
MDP_MF-DF-PCI,1,1,66.63642766725211,3.389093770385028e-15,2.5791038321003695e-14,2.4424549785820667e-09,0.09275833712499416
MDP_MF-DF-PCI,1,2,65.64809334839939,5.555173860996476e-15,3.649460290516448e-14,3.881966288314642e-09,0.08696508551093375
