metric,coverage_t,sample_size_source_t,kw_statistic,kw_pvalue,dunn_weak_moderate,dunn_weak_strong,dunn_weak_verystrong,dunn_moderate_strong,dunn_moderate_verystrong,dunn_strong_verystrong
ALS,1,2,43.984669695078374,1.5205412827517244e-09,0.08786241323805785,0.08786241323805785,1.5632719541608285e-05,0.7397920731681104,7.6307114424474e-06,0.0011839018665798257
ALS,2,2,32.532234417960936,4.041982457582425e-07,0.14692040420491248,0.14692040420491248,0.00022781880673651686,0.8503034162850336,0.00026367166642683466,0.007220430219559801
ALS,3,2,18.667621944317087,0.00032025288227745523,0.1844735940499609,0.26133275839691966,0.0057537079884916326,0.6780967531659041,0.043838205464248596,0.043838205464248596
AP_ALS-PCI,1,2,43.984669695078374,1.5205412827517244e-09,0.08786241323805785,0.08786241323805785,1.5632719541608285e-05,0.7397920731681104,7.6307114424474e-06,0.0011839018665798257
AP_ALS-PCI,2,2,32.166570213445304,4.827053488901056e-07,0.07897746862377195,0.07837177258815659,0.00014209068195961222,0.6683285978213213,0.0002813573197526032,0.018228202009594508
AP_ALS-PCI,3,2,21.113629377105813,9.970790842737475e-05,0.10253233897206313,0.10253233897206313,0.0012260724499451594,0.9041688000778878,0.01849608105302667,0.09592196447878831
Default,1,2,46.50623422144809,4.4263883048340936e-10,0.3403885555632179,0.3403885555632179,8.388231162891665e-05,0.9285695208877234,1.493591918590035e-06,0.00013160884336081425
Default,2,2,36.213939943463316,6.747640063850917e-08,1.0,1.0,0.004268976925453381,1.0,2.9761320411190285e-05,0.00015946123730769946
Default,3,2,27.765789574277616,4.0672693010844716e-06,1.0,1.0,0.05236255612701489,1.0,0.0009029591332468767,0.00021590335379072104
MDAP_MF-DF-ALS-PCI,1,2,47.07303261668912,3.3534781253798435e-10,0.06516477295487867,0.02918218178934734,4.856268610667872e-06,0.3777527680542251,1.3460410773644772e-06,0.004272706986094276
MDAP_MF-DF-ALS-PCI,2,2,30.265041219759638,1.213775578197942e-06,0.04529501306965003,0.04529501306965003,8.56553882179401e-05,0.6344702373422288,0.0009825261423414627,0.04529501306965003
MDAP_MF-DF-ALS-PCI,3,2,20.623516342839597,0.00012603356819354989,0.1066431083851663,0.08544920307879518,0.001161628171622518,0.6270196642788752,0.015275707895651445,0.11674863397668596
MDA_MF-DF-ALS,1,2,47.07303261668912,3.3534781253798435e-10,0.06516477295487867,0.02918218178934734,4.856268610667872e-06,0.3777527680542251,1.3460410773644772e-06,0.004272706986094276
MDA_MF-DF-ALS,2,2,30.256853122057073,1.2186000907074398e-06,0.043990875750348005,0.043990875750348005,8.969935912035219e-05,0.6373071765304104,0.0009558394359862983,0.043990875750348005
MDA_MF-DF-ALS,3,2,20.940476770940943,0.0001083155497819684,0.1047574649666997,0.08416670195820891,0.0010648285451476157,0.6283019881891303,0.013947174269239134,0.11023961954171824
MDP_MF-DF-PCI,1,2,48.71660810309768,1.4988449076395258e-10,0.07145320198883792,0.04827358577284823,5.035552265213243e-06,0.5121389381653416,9.608957147505041e-07,0.0013754588082809044
MDP_MF-DF-PCI,2,2,30.49385025547079,1.0864014258875572e-06,0.05176925565333229,0.05176925565333229,8.33381681600657e-05,0.893294446710577,0.0016104730942349918,0.019554666114609775
MDP_MF-DF-PCI,3,2,20.936203523230443,0.00010853708181917151,0.10107166830598346,0.10107166830598346,0.0012650755731330966,0.9167816911792991,0.020180550560658306,0.09707720678740106
MD_MF-DF,1,2,48.71660810309768,1.4988449076395258e-10,0.07145320198883792,0.04827358577284823,5.035552265213243e-06,0.5121389381653416,9.608957147505041e-07,0.0013754588082809044
MD_MF-DF,2,2,30.623226285033237,1.0203779199045213e-06,0.05166765151074776,0.05166765151074776,8.226092858810123e-05,0.9084654360129875,0.0015853275511598266,0.018083082547958786
MD_MF-DF,3,2,21.475360320250523,8.386176784384449e-05,0.09732111409949062,0.09732111409949062,0.0011045500171409466,0.9391903841392647,0.018011281354068796,0.08262761463070485
PCI,1,2,46.50623422144809,4.4263883048340936e-10,0.3403885555632179,0.3403885555632179,8.388231162891665e-05,0.9285695208877234,1.493591918590035e-06,0.00013160884336081425
PCI,2,2,34.563116417926665,1.5066818684522257e-07,0.7069984743969459,0.7201389939563554,0.002071689227406334,0.7400980471461388,8.272786495971512e-05,0.0003745855545209961
PCI,3,2,21.250211240269746,9.340172726523761e-05,1.0,1.0,0.04354875131237518,1.0,0.010038713081084099,0.0023889411755260532
