Advice,AspectConstructors,AspectFields,AspectMethods,Aspects,Base,ClassConstructors,Classes,ClassFields,ClassMethods,CodeFormatter,InterfaceFields,InterfaceMethods,Interfaces,InterTypeConstructors,InterTypeDeclare,InterTypeFields,InterTypeMethods,Pointcuts,States
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1
0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1
0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
