CACHESIZE,CS16MB,CS32MB,CS512MB,CS64MB,DIAGNOSTIC,HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_SEQUENCE,HAVE_STATISTICS,HAVE_VERIFY,PAGESIZE,PS16K,PS1K,PS32K,PS4K,PS8K
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0
1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1
1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0
1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0
1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
