system_name,source_t,sample_size
7z,1,13
7z,2,143
AJStats,1,2
AJStats,2,10
AJStats,3,20
BerkeleyDBC,1,5
BerkeleyDBC,2,21
BerkeleyDBC,3,57
clasp,1,12
clasp,2,30
clasp,3,89
Curl,1,3
Curl,2,9
Curl,3,23
Dune,1,8
Dune,2,49
Dune,3,291
Hipacc,1,21
Hipacc,2,361
Hipacc,3,1370
HSMGP,1,8
HSMGP,2,49
HSMGP,3,291
HSQLDB,1,3
HSQLDB,2,12
HSQLDB,3,33
HyTeG,1,2
HyTeG,2,7
HyTeG,3,12
JavaGC,1,7
JavaGC,2,45
JavaGC,3,198
LLVM,1,2
LLVM,2,9
LLVM,3,18
lrzip,1,9
lrzip,2,54
lrzip,3,108
PKJab,1,2
PKJab,2,7
PKJab,3,17
Polly,1,5
Polly,2,33
Polly,3,168
SQLite,1,5
SQLite,2,22
TriMesh,1,26
TriMesh,2,247
VP9,1,5
VP9,2,32
VP9,3,153
WGet,1,3
WGet,2,9
WGet,3,27
x264,1,3
x264,2,12
x264,3,25
z3,1,4
z3,2,12
z3,3,30
